,,2011,2012,2013,2014,2015,2016,2017,2018,,order
20s,Smartphone,51.4,79.7,89.8,94.5,98.4,99.4,97.1,95.9,,1
30s,Smartphone,41.3,72.7,84.9,92.4,94.2,96.2,97.4,97.2,,2
40s,Smartphone,34.9,63.4,78.1,83.8,88.8,90.7,94.1,95,,3
50s,Smartphone,38.2,58.5,73.2,75,83.9,86.5,88.3,89.7,,4
60s,Smartphone,22.3,39.4,56,47.7,64.2,63.5,69.5,78.3,,5
70s,Smartphone,12.2,25.3,41.4,28,36.7,38.4,44.9,55.4,,6
80s~,Smartphone,11,20.2,30.2,20.8,31.9,28.6,31.5,35.5,,7
,,,,,,,,,,,8
20s,Galapagos,77.5,53.9,52.9,31.5,25.1,19.9,19.6,25.4,,9
30s,Galapagos,87.7,69.3,60.2,49.3,41.9,31.5,26.3,25.5,,10
40s,Galapagos,94.4,82.2,74.1,62.7,58.9,49.2,40,36,,11
50s,Galapagos,95.9,90.2,84.3,76.8,68.2,55.9,48.1,41.5,,12
60s,Galapagos,95.9,93.1,90.2,85.7,78.1,72.9,63.6,53.7,,13
70s,Galapagos,85.1,92.5,89.6,82.9,84.2,79.5,74.2,68.1,,14
80s~,Galapagos,86.9,87,84.8,70.3,71.1,66,63.1,65.8,,15
